place_name,place_id,place_lat,place_lng,place_type,region
Crôa Mares Restaurante e Receptivo,ChIJtWgsphlgAAcRRC17a-kZHvs,-8.931894,-35.1657023,bar,Peroba
Bar do Carlos (Bar do Nem),ChIJT08wPc5jAAcROX8FgfdGEtQ,-8.9285189,-35.1638792,bar,Peroba
Bar sol e mar,ChIJfZ77I6pjAAcRx7ior242jJQ,-8.927475200000002,-35.1617743,bar,Peroba
Bar Mar e Sol,ChIJJ6tdo89jAAcRLKMErx8oCJU,-8.9275785,-35.1615808,bar,Peroba
Nosso Bar,ChIJN_0gxshjAAcRP-tFebMwSDA,-8.9267147,-35.1612134,bar,Peroba
"Gobber's Bar, the Peroba Beach",ChIJt8tOTtRjAAcRfwkpK7H6v40,-8.935351500000001,-35.1673294,bar,Peroba
Trailer Bar (Bar da Praia),ChIJBVemrzhjAAcRY8BKOS99QNc,-8.921908799999999,-35.1566751,bar,Peroba
Gêmeos motos,ChIJKzhPPrFjAAcR9-PaRHn7Vjo,-8.926280199999997,-35.1617284,car_repair,Peroba
Studio Talita Moura,ChIJ_Z2MFEBjAAcR3HnrMfg9ddc,-8.9323018,-35.1720111,hair_care,Peroba
Rafa Santos Barbershop,ChIJYxghHVFjAAcRvrAcWxwbepw,-8.935231100000001,-35.1691537,hair_care,Peroba
Ponta Do Mangue,ChIJOY3d9NNjAAcRkQeHvjtzk_Q,-8.933333,-35.16666689999999,hospital,Peroba
N Park Jota,ChIJYcUXDMljAAcRCHxBKHdYV6I,-8.922507,-35.1637086,park,Peroba
Estacionamento Peroba,ChIJMZf9kfljAAcRTTRP8ym5yTw,-8.921481799999999,-35.15760619999999,parking,Peroba
Farmácia Santo Cristo,ChIJ0S6kq89jAAcRXIiGdoWzrks,-8.927087600000002,-35.162527,pharmacy,Peroba
State Highway Patrol,ChIJTy4NhbhjAAcRXGsPm__CoMQ,-8.920069699999997,-35.15657789999999,police,Peroba
Peixaria Sinfonia Pescados,ChIJq0D4S3ljAAcRpgzwYLJB2iQ,-8.929791199999999,-35.1659143,store,Peroba
Mercadinho e Peixaria do Kiko,ChIJ-dg1qs9jAAcRSA3zW4BDtKw,-8.9270889,-35.1623615,store,Peroba
Laje São Paulo,ChIJKQfQtmdjAAcRgFfiEM3FSKw,-8.9242637,-35.1605232,store,Peroba
Sorveteria Camocim,ChIJRznJrqdjAAcROoxlO7Ma8k8,-8.924171699999999,-35.1599779,store,Peroba
