Bairro,Habitantes,Área (km2),Densidade Demográfica,,,,,,
,,,#DIV/0!,,,,,,
Jacintinho,"86.514,00","3,67","23.573,30",,,,,,
Chã da Jaqueira,"16.617,00","0,71","23.404,23",,Cidade,Habitantes,Área,Densidade demográfica,Dados Colhidos
Bom Parto,"12.841,00","0,56","22.930,36",,Maceió,932.748,"509,32","1.854,10",Censo 2010 (IBGE)
Vergel do Lago,"31.538,00","1,7","18.551,76",,,,,,
Ponta Grossa,"21.796,00","1,28","17.028,13",,,,,,
Trapiche da Barra,"25.303,00","1,75","14.458,86",,,,,,
Jatiúca,"38.027,00","2,9","13.112,76",,,,,,
Levada,"10.882,00","0,87","12.508,05",,,,,,
Clima Bom,"55.952,00","4,66","12.006,87",,,,,,
Prado,"17.763,00","1,49","11.921,48",,,,,,
Feitosa,"30.336,00","2,6","11.667,69",,,,,,
Ouro Preto,"6.224,00","0,54","11.525,93",,,,,,
Poço,"20.776,00","1,86","11.169,89",,,,,,
Pinheiro,"19.062,00","1,96","9.725,51",,,,,,
Ponta Verde,"24.402,00","2,7","9.037,78",,,,,,
Canaã,"5.025,00","0,57","8.815,79",,,,,,
Chã de Bebedouro,"10.541,00","1,29","8.171,32",,,,,,
Tabuleiro do Martins,"64.755,00","8,5","7.618,24",,,,,,
Santo Amaro,"1.927,00","0,26","7.440,15",,,,,,
Santa Lúcia,"26.061,00","4,02","6.482,84",,,,,,
Barro Duro,"14.431,00","2,4","6.012,92",,,,,,
Farol,"16.859,00","3,01","5.601,00",,,,,,
Cruz das Almas,"11.708,00","2,24","5.226,79",,,,,,
Mangabeiras,"4.166,00","0,81","5.143,21",,,,,,
Petrópolis,"23.675,00","4,71","5.026,54",,,,,,
Mutange,"2.632,00","0,54","4.874,07",,,,,,
Pitanguinha,"4.789,00","1,01","4.741,58",,,,,,
Bebedouro,"10.103,00","2,2","4.592,27",,,,,,
Santa Amélia,"10.649,00","2,35","4.531,49",,,,,,
Gruta de Lourdes,"14.283,00","3,19","4.477,43",,,,,,
São Jorge,"8.445,00","2,23","3.787,00",,,,,,
Benedito Bentes,"88.084,00","24,62","3.577,74",,,,,,
Cidade Universitária,"71.441,00","20,38","3.505,45",,,,,,
Serraria,"22.675,00","7,55","3.003,31",,,,,,
Santos Dumont,"20.471,00","7,08","2.891,38",,,,,,
Antares,"17.165,00",6,"2.860,83",,,,,,
Rio Novo,"7.310,00","2,75","2.655,29",,,,,,
Jaraguá,"3.211,00","1,3","2.470,00",,,,,,
Fernão Velho,"5.752,00","2,66","2.162,41",,,,,,
Ponta da Terra,"8.403,00","4,24","1.981,84",,,,,,
Jardim Petrópolis,"5.081,00","2,67","1.903,00",,,,,,
Pontal da Barra,"2.478,00","1,38","1.795,65",,,,,,
Centro,"2.812,00","1,58","1.779,75",,,,,,
Jacarecica,"5.742,00","3,24","1.772,22",,,,,,
Garça Torta,"1.635,00","1,95","838,46",,,,,,
Pescaria,"2.784,00","3,93","708,4",,,,,,
Pajuçara,"3.711,00","6,56","565,7",,,,,,
Riacho Doce,"5.218,00","10,09","517,15",,,,,,
Guaxumã,"2.481,00","4,91","505,3",,,,,,
Ipioca,"7.580,00","20,04","378,24",,,,,,
