place_name,place_id,place_lat,place_lng,place_type
Manancial padaria e conveniência,fea0fc5d1ded9cdd6aebd45224a128c79127f2ac,-9.641392999999999,-35.701348,bakery
Panetutti Bakery and Doceria,25e49bff482ac71d107e8b566a718109c2db13e1,-9.644547,-35.7047656,bakery
Divinu's Doces,fcd3a122953212745f7b09384321fd761fa26c1a,-9.638660999999997,-35.701782,bakery
Panificação Nossa Senhora Aparecida,fccfe80d1bc14dbfed5d377044018058a57c3475,-9.637395000000001,-35.70286769999999,bakery
Panificadora Albuquerque,1b5d152ed6268d47a12c1fbd118198a8f966b5a0,-9.6410982,-35.7052223,bakery
Cantinho Do Bolo,59366d2f2471f89d0a52a7cc62f4821ae0ccb36a,-9.6370217,-35.7025963,bakery
Ponto de Pães,ba5ac2be8c758b118320455f8a5776a0865410d9,-9.635827599999997,-35.6996605,bakery
A S Vieira Padaria,da5639689953a5839ad53ce84af01c395f946b5d,-9.636202899999999,-35.6987939,bakery
Padaria Massa Pura,ab116c771515f4166cf9f0afd3865e17620a551c,-9.635373099999999,-35.7094561,bakery
PAB SANTANDER,73609077d796a43f8cadaeaf33bf04c5749fb509,-9.6344063,-35.70344179999999,bank
Caixa Ecônimica Federal,1ab840129d65a25b192f17368aac45a1ce8462aa,-9.633785699999999,-35.70131380000001,bank
Federal Savings Bank,f4060e55e78930686442c71b173d64c293bb3bbd,-9.645029899999999,-35.7047986,bank
Banco BMC - Ag. Maceió,94e602184ad6b4556096e92639ac4b20b741e235,-9.6449963,-35.7105377,bank
Caixa,f9cb0577637df973cfa3ced195ae27407f554c08,-9.6338063,-35.7012894,bank
Churrasquinho do Índio,67e448ce9e0b4e2722f65004722120cc060de4bf,-9.6374,-35.70153429999999,bar
Bar e Restaurante do Duda,6e5d9aefc0d6d8bfe203ce6df112f1b7aa8f7e08,-9.645025400000002,-35.70062890000001,bar
Seu Conrado,76a30e7c46629fe1c55c065e7a916f5278bb6c54,-9.641308300000002,-35.7045823,bar
Botequim Comida Mineira,1cc581d8570e1639679a816e3a7e2de05db77492,-9.6428587,-35.7038211,bar
Espaço Kalina Moura l Unhas de Gel,c3e361e4f503dcc6855ce975bf6dd7608c57d108,-9.642897,-35.705538,bar
Bar Canela seca,358b32c0c83236d2c5c3e8ae6b0cf147c74c1ee2,-9.642473599999999,-35.70134999999999,bar
Bar Do Caranguejo,5ec6cb6000a71e9a185a41a440459ca5c77eb5cd,-9.644701399999997,-35.70478050000001,bar
He Caldíssimo It,758672e9d5a546fdf48b0adb891b8c95607c8611,-9.6420434,-35.7005345,bar
Bar e Restaurante da Neide,e96657b6bd4a403fcaae8da920e9dee133f3c3a3,-9.6386091,-35.7011699,bar
O Espetão,1670a194ae0b7c7d55e39f6d0e012b816f4f37dd,-9.637998999999999,-35.7016599,bar
Lanchonete clean box,180f952245042e7c5f658e4f492b7ec53d12d626,-9.643773699999999,-35.7003495,bar
Sou Jorge Petiscaria,6021b8cb62b04d396c0284da879af17c76cd5b2b,-9.6456974,-35.7052207,bar
Casa Família Xaro,4043814edaf7987d8f94c56d447cfc00caeeacf0,-9.643464499999999,-35.7000863,bar
Moa Beach Bar,59bf2a6caa063a35dc58ceded37ce2149521709a,-9.6449204,-35.7007168,bar
JD,1d98d9f211d936aafb97810a53c24e87ca4029b5,-9.636415200000002,-35.70294320000001,bar
Botequim da Poica,e588a7b7e6bcc2f1727fa2f1e4db928b5c121dd0,-9.645106299999998,-35.7008377,bar
Boteco Compade,cba30f95629c460f1aa262205c1bc2277861cbba,-9.644448599999999,-35.70843309999999,bar
Espetinho do Didi,ae5085df94e2a49c4abe5a8b4978ef87b48662f0,-9.643584700000002,-35.709347,bar
Jadena Bar Restaurante e Choparia,98ee197a39249cad5f5af730b4317eb6fad5b8fd,-9.6461738,-35.7069761,bar
Lanchonete Bar Jamm,4c0be6435cd47d9c894e97fc5679d4f69fadb7ef,-9.639805400000002,-35.7100216,bar
O Botequinho Pratos e Trukes,5a72a46f1aa37afc13d619f0f82c836f4963a7ea,-9.6444297,-35.7097685,bar
Parada de Ruben,d2494d55494248872093307bf13b7957f49956c9,-9.638847799999997,-35.69814909999999,bar
"O Botequinho, Pratos e Trukes",620df3d16d0e7ba310fddf35d2abe9c15b811ae1,-9.644446400000001,-35.7097813,bar
Tapioca Rosa Saron,d638ce64285ad35c28204788243ef55ecdc8f972,-9.646086,-35.6996344,bar
Brasileirissimo Bar e Restaurante,cd4ce292250bc1a7a4900ed1f67e9c35475523aa,-9.6468832,-35.69986129999999,bar
Alagoaninho,6c6503f3b496605caac9d1bee50500ad87d9d3c9,-9.648879500000001,-35.7030157,bar
M☆IKAI,da2057e89932c27f5a4a3446455b664c31090f44,-9.6492366,-35.7048637,bar
Amsterdã Rocha Cabeleireiros,2d6c10e18ee747a4b3e42a0cff42f4e3c4b6a127,-9.643063999999999,-35.7023373,beauty_salon
Espaçolaser,0440daf06ac1fb9408230cf00eb90b54ce26b7ba,-9.637636799999997,-35.7038003,beauty_salon
Sóbrancelhas Maceió - Jatiuca,fcf353e5b061ffef4857c9b7120330e162eeca32,-9.6375949,-35.7036772,beauty_salon
salão de Beleza Fios Amarelos,4ed13fc641d91b8e63a1ac3d945ecb0441462419,-9.6370392,-35.7023909,beauty_salon
Rai Cabeleireiros UNISSEX,40638ca2a4f4c64e1f6ffb5762bd5be85bac8154,-9.637249800000001,-35.7003979,beauty_salon
Salão Fino Trato,a375e2cd85837082fcf9671514a88c8d83bd9f6f,-9.6358497,-35.7022806,beauty_salon
Não+Pelo Jatiúca,3e9737542506649f411d04b6854674e81e763d13,-9.647598899999998,-35.7057743,beauty_salon
Sá Buneca,effebbe9a1e0c4b1848d17c8ee2ca5cee4aa8732,-9.645173999999999,-35.7098907,beauty_salon
SALÃO CASULLO VALERIA ALBUQUERQUE,64be06a02102a2c9974db696662f6b71871a5b0f,-9.649313,-35.703263,beauty_salon
Nete Cabeleireiro,5cfcbd3f0ff2200dfb2abdcc0e44d6d0caf816a0,-9.6428957,-35.7044567,beauty_salon
Salão Linda by Márcia,f1c9b3081990c7b527a6ec16f406d2ed847366a8,-9.643017,-35.7044047,beauty_salon
"DESIGN DE SOBRANCELHA, DESIGN COM HENNA E EPILAÇÃO DE BUÇO!",8457cfbec914dba4bcd97fbd11b6398a329e2bdb,-9.6430934,-35.70484,beauty_salon
Inove Cabelo e Corpo,d5ce72c1860db1f1f95729eabe71fffd1efd7276,-9.643258699999999,-35.7048431,beauty_salon
Salão Rosa Cabeleireira,17cb6d0e0a060f53c538fcf792a6856452170914,-9.6423968,-35.7019262,beauty_salon
Soraya Toledo Estética e Bem-Estar,8f1e01fac207cda324261b4516e6c1663b208956,-9.643147899999997,-35.705845,beauty_salon
Espaco da Beleza Carol Maria,c167bbd6b9decb422da22db22b42201355c8725b,-9.638673899999999,-35.7039172,beauty_salon
Studio Cris Oliveira,14e313b666a4937e9d28ec82c0fefb3411eb24ff,-9.64275,-35.70134,beauty_salon
Estúdio Zen Maceió - Massoterapia e Terapia Holística,402ef9c157c2669a7454ecb85d16e9f61e96fe25,-9.6445018,-35.70435090000001,beauty_salon
Studio Paula Sobral,56c8013c523225769037359773c63aae8dcbbb2d,-9.644328999999999,-35.70291,beauty_salon
Casa da Beleza,99ef1562e55250cc5fdf77228680256c2e61cdb2,-9.6433441,-35.7012674,beauty_salon
Nutri Hair,53e3ed6df6f73b91c758daa3eb919339fb96ec1e,-9.641432600000002,-35.7005275,beauty_salon
Innovant Beauty,055228c37591b9649907cf726467dbbba78b412a,-9.6382075,-35.7021726,beauty_salon
Cabeça Feita,292a4065581d26d08a93aef940caf9c4b0a8306b,-9.6433501,-35.7010713,beauty_salon
Claudia Gama Espaco de Beleza,df27287426177ff06565785435982d709e8d8860,-9.642583999999998,-35.70768839999999,beauty_salon
Martha Cabelo e Corpo,a3593cbbbf791bb33f1d74542db573a95aec0d1f,-9.6386266,-35.7013402,beauty_salon
Salão Blue,d684fb822ddbe6b6a123bf92ea1fed5be810f9fb,-9.645004700000001,-35.7029492,beauty_salon
Adriana Ferro Cabelos,f453a2e23fcc30d7e392cd18f3e152f825c0a4e7,-9.645006400000002,-35.70572869999999,beauty_salon
Indra Omena Cabelos,bd48640919e3d80b1a5a5d8bfbee55a0c8c608e6,-9.637857300000002,-35.701916,beauty_salon
Ney Silva Cabelos,cf8c2522432178920a799a412ea452253a52710f,-9.642908499999999,-35.7080093,beauty_salon
Erika Cabelos,41b6c819bb2537d95a4293412205ba50ac5e6f10,-9.637414199999998,-35.702516,beauty_salon
Creuza Cabeleireiros,158314c89e762146d2bc661fd48bc5f285450070,-9.6444817,-35.7069338,beauty_salon
Fórum - Estúdio de Beleza,3f24285beb02b12fa8ca19cc717f5bc9f475434b,-9.637393999999999,-35.7018274,beauty_salon
Claudio Cabeleireiros,aa66e4c962b10a37955a36a2a5d039fc0a131c2e,-9.6437774,-35.7080601,beauty_salon
Studio junior adelmo,2ab787559bc6a44d6887b4184f35d6a8ff2669a3,-9.642740000000002,-35.708741,beauty_salon
LaBelle - Sara Silva (Estética Facial e Corporal),db82dafa00d86fb43ac7923fad3470d3529628a2,-9.6377142,-35.7009487,beauty_salon
Espaço 21 Cabeleireiros,3c63d77bdf72bbd1349cd168aba48151f50a6210,-9.6461949,-35.7052348,beauty_salon
Barbara luanda unhas e cia,2b06213aeadd4347aeb5f8b1884596755a3a10d5,-9.6372617,-35.70061099999999,beauty_salon
Belezaria Hair Care,0c9d22990b101023615d5524e6aecf8cb0af8b16,-9.6365541,-35.7016288,beauty_salon
Salão Stylo Design,4e7851aa4405c69006eb6ab8cff6bc7c26022d0f,-9.644388000000001,-35.7088987,beauty_salon
Salão Unissex,0da185b3aff2082362c744057d6a126060d8467e,-9.635519700000001,-35.702962,beauty_salon
